255.0,29.0,277.0,29.0,277.0,406.0,255.0,406.0,榮封爲理國府欽差節制各處水步諸營兼總
227.0,31.0,251.0,31.0,251.0,406.0,227.0,406.0,政柄太尉宜國公爾其恪遵成命茂建殊勳監
197.0,31.0,220.0,31.0,220.0,405.0,197.0,405.0,國撫軍這大小事欽閲决迪毅登辟舉内外效
167.0,29.0,191.0,29.0,191.0,404.0,167.0,404.0,厎治安以答予心責成之重副王父委寄之隆
136.0,28.0,160.0,28.0,160.0,407.0,136.0,407.0,斯益衍皇圖鞏固之長保王業綿洪之大爾其
110.0,29.0,131.0,29.0,131.0,72.0,110.0,72.0,欽哉
78.0,13.0,97.0,13.0,97.0,91.0,78.0,91.0,辛丑四年
90.0,94.0,103.0,94.0,103.0,215.0,90.0,215.0,明永曆十五年
75.0,92.0,89.0,92.0,89.0,214.0,75.0,214.0,清順治十七年
77.0,216.0,99.0,216.0,99.0,406.0,77.0,406.0,春二月節制太尉宜國
45.0,29.0,68.0,29.0,68.0,407.0,45.0,407.0,公鄭根振旅還京留陶光饒爲鎮守黎仕澈胡
17.0,31.0,39.0,31.0,39.0,402.0,17.0,402.0,士揚鄭時濟爲督視領諸将屯于奇華河中地
